1,0.26968589050702074,01.06.2023
2,0.2463991214067909,01.06.2023
3,0.16288667693338196,01.06.2023
4,0.17929071478912192,01.06.2023
5,0.212349383995715,01.06.2023
6,0.17662983504643825,01.06.2023
7,0.20197728406757348,01.06.2023
8,0.18079632985813185,01.06.2023
1,0.26858589050702074,25.05.2023
2,0.2463991214067909,25.05.2023
3,0.16288667693338196,25.05.2023
4,0.17929071478912192,25.05.2023
5,0.212349383995715,25.05.2023
6,0.17662983504643825,25.05.2023
7,0.20197728406757348,25.05.2023
8,0.18079632985813185,25.05.2023
1,0.26858589050702075,18.05.2023
2,0.2463991214067909,18.05.2023
3,0.16288667693338196,18.05.2023
4,0.17929071478912192,18.05.2023
5,0.212349383995715,18.05.2023
6,0.17662983504643825,18.05.2023
7,0.20197728406757348,18.05.2023
8,0.18079632985813185,18.05.2023
1,0.26858589050702075,15.05.2023
2,0.2463991214067909,15.05.2023
3,0.16288667693338196,15.05.2023
4,0.17929071478912192,15.05.2023
5,0.212349383995715,15.05.2023
6,0.17662983504643825,15.05.2023
7,0.20197728406757348,15.05.2023
8,0.18079632985813185,15.05.20231
1,0.04177610481629661,03.06.2023
2,0.054409781499871974,03.06.2023
3,0.030295655848728772,03.06.2023
4,0.02264999494929532,03.06.2023
5,0.03887357444395439,03.06.2023
6,0.029417623656217376,03.06.2023
7,0.02237011521508966,03.06.2023
8,0.021877440539581114,03.06.2023
8,0.02245963445619212,03.06.2023
8,0.02271857114663509,03.06.2023
8,0.02271857114663509,04.06.2023
8,0.18079632985813185,04.06.2023
8,0.18079632985813185,04.06.2023
8,0.02963643211143375,04.06.2023
8,0.10320086473731645,04.06.2023
8,0.10320086473731645,04.06.2023
8,0.18079632985813185,04.06.2023
8,0.02963643211143375,04.06.2023
8,0.02963643211143375,04.06.2023
8,0.18079632985813185,04.06.2023
8,0.18079632985813185,04.06.2023
8,0.18079632985813185,04.06.2023
8,0.20485211212845947,04.06.2023
8,0.20485211212845947,04.06.2023
1,0.3041030928741821,04.06.2023
1,0.30410384907308796,04.06.2023
1,0.3041030928741821,04.06.2023
1,0.048202166523210195,04.06.2023
1,0.048202166523210195,04.06.2023
1,0.048202166523210195,04.06.2023
1,0.3041030928741821,04.06.2023
1,0.04441979380278686,04.06.2023
1,0.04441979380278686,04.06.2023
1,0.04441979380278684,04.06.2023
1,0.04441979380278684,04.06.2023
1,0.44419793802786856,04.06.2023
2,0.6234105663501824,04.06.2023
3,0.38600521034180196,04.06.2023
4,0.2781879768341418,04.06.2023
5,0.5135770935597831,04.06.2023
6,0.3937523526083961,04.06.2023
7,0.27192371212079647,04.06.2023
8,0.2812142464618073,04.06.2023
8,0.29636432111433747,04.06.2023
8,0.27057131901840487,04.06.2023
1,0.4039992899485213,04.06.2023
2,0.6098999224989048,04.06.2023
3,0.40668402135810316,04.06.2023
4,0.2840112201963534,04.06.2023
5,0.5441025514531348,04.06.2023
6,0.4135299280322976,04.06.2023
7,0.2586411851002877,04.06.2023
8,0.27057131901840487,04.06.2023
1,0.3041030928741821,04.06.2023
2,0.27495930706325716,04.06.2023
3,0.18773555824886434,04.06.2023
4,0.19821426669734277,04.06.2023
5,0.2500038030807369,04.06.2023
6,0.20376783037675172,04.06.2023
7,0.22892806458435766,04.06.2023
8,0.20485211212845947,04.06.2023
